CALDT,TDBID,TDASK
20150206,99.4765625,99.4921875
20150209,99.3203125,99.3515625
20150210,99.3046875,99.328125
20150211,99.15625,99.171875
20150212,99.3984375,99.4296875
20150213,99.1796875,99.2109375
20150217,98.8203125,98.8515625
20150218,99.265625,99.3125
20150219,99,99.03125
20150220,98.9296875,98.9609375
20150223,99.15625,99.1953125
20150224,99.578125,99.6015625
20150225,99.5859375,99.6171875
20150226,99.2421875,99.2734375
20150227,98.7421875,98.7734375
20150302,98.3828125,98.4140625
20150303,98.2734375,98.328125
20150304,98.3359375,98.3671875
20150305,98.40625,98.4375
20150306,97.84375,97.875
20150309,98.0390625,98.1015625
20150310,98.2578125,98.2734375
20150311,98.2734375,98.3046875
20150312,98.3203125,98.34375
20150313,98.3515625,98.3828125
20150316,98.5234375,98.5546875
20150317,98.546875,98.578125
20150318,99.3125,99.375
20150319,98.9609375,98.984375
20150320,99.28125,99.2890625
20150323,99.3828125,99.3984375
20150324,99.53125,99.5390625
20150325,99.265625,99.2734375
20150326,99.0703125,99.1015625
20150327,99.171875,99.1953125
20150330,99.3203125,99.3359375
20150331,98.8203125,98.828125
20150401,99.046875,99.0546875
20150402,98.890625,98.8984375
20150403,99.28125,99.3125
20150406,99.0390625,99.046875
20150407,98.9609375,98.9765625
20150408,98.8203125,98.8515625
20150409,98.6171875,98.625
20150410,98.6171875,98.6484375
20150413,98.7578125,98.78125
20150414,98.8828125,98.8984375
20150415,98.9921875,99.0078125
20150416,99.0703125,99.0859375
20150417,99.03125,99.0625
20150420,99,99.03125
20150421,98.9453125,98.9765625
20150422,98.671875,98.6796875
20150423,98.7890625,98.8203125
20150424,99.0546875,99.0625
20150427,98.9453125,98.96875
20150428,98.640625,98.6640625
20150429,98.5546875,98.578125
20150430,98.484375,98.53125
20150501,98.1484375,98.1953125
20150504,98.125,98.171875
20150505,97.90625,97.953125
20150506,97.7265625,97.7734375
20150507,97.828125,97.875
20150508,98.1796875,98.2265625
20150511,97.671875,97.71875
20150512,97.8359375,97.8828125
20150513,97.8203125,97.8671875
20150514,98.109375,98.15625
20150515,98.328125,98.375
20150518,97.984375,98.03125
20150519,97.671875,97.71875
20150520,97.9140625,97.9609375
20150521,98.125,98.171875
20150522,97.8984375,97.9453125
20150526,98.078125,98.125
20150527,98.0546875,98.1015625
20150528,98.1640625,98.2109375
20150529,99.3984375,99.4453125
20150601,99.1328125,99.1796875
20150602,98.859375,98.90625
20150603,98.4765625,98.5234375
20150604,98.671875,98.71875
20150605,98.1953125,98.2421875
20150608,98.3515625,98.3984375
20150609,98.1171875,98.1640625
20150610,97.96875,98.015625
20150611,98.2578125,98.3046875
20150612,98.1796875,98.2265625
20150615,98.3828125,98.4296875
20150616,98.5859375,98.6328125
20150617,98.75,98.796875
20150618,98.75,98.796875
20150619,98.96875,99.015625
20150622,98.5390625,98.5859375
20150623,98.40625,98.453125
20150624,98.5390625,98.5859375
20150625,98.390625,98.4375
20150626,98.21875,98.265625
20150629,98.8515625,98.8984375
20150630,101.0546875,101.0625
20150701,100.78125,100.8125
20150702,101.125,101.1796875
20150706,101.4921875,101.5234375
20150707,101.546875,101.5625
20150708,101.828125,101.84375
20150709,101.34375,101.359375
20150710,101.0078125,101.0234375
20150713,100.71875,100.7265625
20150714,100.9921875,101
20150715,101.1171875,101.1328125
20150716,100.96875,100.9921875
20150717,100.8984375,100.921875
20150720,100.7265625,100.734375
20150721,100.9765625,100.9921875
20150722,100.890625,100.8984375
20150723,101.0703125,101.078125
20150724,101.125,101.15625
20150727,101.40625,101.4140625
20150728,101.28125,101.2890625
20150729,101.171875,101.1796875
20150730,101.1640625,101.1953125
20150731,102.140625,102.1875
20150803,102.1796875,102.2265625
20150804,101.7734375,101.8203125
20150805,101.5546875,101.6015625
20150806,101.7265625,101.7734375
20150807,101.9296875,101.9765625
20150810,101.734375,101.78125
20150811,102.1484375,102.1953125
20150812,102.1640625,102.2109375
20150813,101.90625,101.953125
20150814,101.8046875,101.8515625
20150817,101.953125,102
20150818,101.90625,101.953125
20150819,102.2890625,102.3359375
20150820,102.40625,102.453125
20150821,102.625,102.671875
20150824,102.90625,102.953125
20150825,102.6328125,102.6796875
20150826,102.3359375,102.3828125
20150827,102.2734375,102.3203125
20150828,102.2109375,102.2578125
20150831,102.53125,102.578125
20150901,102.796875,102.84375
20150902,102.6875,102.734375
20150903,102.8046875,102.8515625
20150904,102.8984375,102.9453125
20150908,102.6640625,102.7109375
20150909,102.5703125,102.6171875
20150910,102.515625,102.5625
20150911,102.703125,102.75
20150914,102.7109375,102.7578125
20150915,102.2265625,102.2734375
20150916,102.203125,102.25
20150917,102.828125,102.875
20150918,102.984375,103.03125
20150921,102.7421875,102.7890625
20150922,103.0703125,103.1171875
20150923,102.984375,103.03125
20150924,103.1328125,103.1796875
20150925,102.9921875,103.0390625
20150928,103.25,103.296875
20150929,103.453125,103.5
20150930,102.9609375,103.0078125
